Name,Positions,Age,OVA,Potential,Team,Contract,Value,Wage,Total
M. Diaby,RM,22,84,88,Bayer 04 Leverkusen,2019 ~ 2025,€61.5M,€70K,1960
Nuno Mendes,LB,20,80,88,Paris Saint-Germain,2021 ~ 2026,€44M,€54K,2065
A. Elanga,RW,20,74,85,Manchester United,2020 ~ 2026,€9.5M,€63K,1829
M. Cancellieri,RW,19,73,86,Lazio,"Jun 30, 2023 On Loan",€7M,€14K,1875
G. Scalvini,CB,18,70,86,Atalanta,2021 ~ 2023,€3.8M,€6K,1464
K. Benzema,CF,34,91,91,Real Madrid CF,2009 ~ 2023,€64M,€450K,2147
D. Malen,ST,23,79,85,Borussia Dortmund,2021 ~ 2026,€28M,€47K,2018
N. Zaniolo,CF,22,81,88,Roma,2018 ~ 2024,€53M,€71K,2092
L. Sučić,CAM,19,73,84,FC Red Bull Salzburg,2019 ~ 2025,€6.5M,€13K,1914
T. Abraham,ST,24,82,85,Roma,2021 ~ 2026,€42M,€77K,1927
J. Sancho,LW,22,84,88,Manchester United,2021 ~ 2026,€61.5M,€155K,1977
Fábio Vieira,CAM,22,77,87,Arsenal,2022 ~ 2027,€23.5M,€62K,1852
M. Lazetić,ST,18,65,85,AC Milan,2022 ~ 2026,€2M,€6K,1663
M. Ødegaard,CAM,23,84,89,Arsenal,2021 ~ 2026,€63.5M,€105K,2109
S. Tonali,CDM,22,84,90,AC Milan,2021 ~ 2026,€62.5M,€75K,2225
Pedro Porro,RWB,22,81,87,Sporting CP,2022 ~ 2025,€38.5M,€15K,2144
M. Solomon,LM,22,76,85,Fulham,"Jun 30, 2023 On Loan",€17M,€900,1862
M. Olise,RW,20,76,86,Crystal Palace,2021 ~ 2026,€16.5M,€40K,1935
K. De Bruyne,CM,31,91,91,Manchester City,2015 ~ 2025,€107.5M,€350K,2303
H. Maguire,CB,29,81,82,Manchester United,2019 ~ 2024,€24M,€120K,1924
L. Martínez,ST,24,86,90,Inter,2018 ~ 2026,€98.5M,€110K,2163
R. Lavia,CDM,18,62,83,Southampton,2022 ~ 2027,€1.2M,€2K,1566
A. Danjuma,LM,25,82,83,Villarreal CF,2021 ~ 2026,€36.5M,€43K,2013
O. Solet,CB,22,74,83,FC Red Bull Salzburg,2020 ~ 2025,€9M,€19K,1784
T. Nianzou,CB,20,73,85,FC Bayern München,2020 ~ 2024,€7M,€26K,1671
G. Bazunu,GK,20,70,85,Southampton,2022 ~ 2027,€3.4M,€13K,1141
Fábio Carvalho,CAM,19,73,86,Liverpool,2022 ~ 2028,€7M,€37K,1783
D. Alaba,CB,30,86,86,Real Madrid CF,2021 ~ 2026,€55.5M,€220K,2277
N. Barella,CM,25,86,89,Inter,2020 ~ 2026,€89.5M,€110K,2296
A. Davies,LB,21,84,89,FC Bayern München,2019 ~ 2025,€60.5M,€59K,2170
M. Kean,ST,22,78,86,Juventus,"Jun 30, 2023 On Loan",€32M,€41K,1878
E. Smith Rowe,LM,21,80,87,Arsenal,2017 ~ 2026,€43M,€65K,1830
G. Bazunu,GK,20,70,85,Southampton,2022 ~ 2027,€3.4M,€13K,1141
João Cancelo,LB,28,88,88,Manchester City,2019 ~ 2027,€82.5M,€250K,2262
Bernardo Silva,CAM,27,88,88,Manchester City,2017 ~ 2025,€97.5M,€260K,2185
K. Havertz,CAM,23,84,91,Chelsea,2020 ~ 2025,€84.5M,€130K,2042
O. Wijndal,LB,22,79,83,Ajax,2022 ~ 2027,€24M,€16K,2022
D. Frattesi,CM,22,77,86,U.S. Sassuolo Calcio,2017 ~ 2026,€23.5M,€29K,2048
L. Díaz,LW,25,84,87,Liverpool,2022 ~ 2027,€56M,€155K,2049
O. Kökçü,CM,21,79,86,Feyenoord,2017 ~ 2025,€35.5M,€11K,2089
M. Simakan,CB,22,78,86,RB Leipzig,2021 ~ 2026,€29.5M,€39K,1793
G. Reyna,CAM,19,77,86,Borussia Dortmund,2019 ~ 2025,€23M,€24K,1921
R. Gravenberch,CM,20,79,89,FC Bayern München,2022 ~ 2027,€38.5M,€45K,2101
A. Bella Kotchap,CB,20,73,83,Southampton,2022 ~ 2026,€6M,€26K,1573
Bruno Guimarães,CM,24,81,86,Newcastle United,2022 ~ 2026,€38.5M,€88K,2110
Matheus Nunes,CM,23,79,86,Sporting CP,2019 ~ 2026,€35M,€15K,2103
F. Farías,ST,19,75,85,Club Atlético Colón,2020 ~ 2023,€12M,€9K,1946
M. Bumbercatch,CM,25,79,82,AFC Richmond,2018 ~ 2024,€23M,€950,2042
Adama Traoré,RW,26,79,80,Wolverhampton Wanderers,2018 ~ 2023,€20.5M,€90K,1929
R. James,RWB,22,84,88,Chelsea,2017 ~ 2025,€57M,€120K,2225
A. Broja,ST,20,75,85,Chelsea,2020 ~ 2026,€12.5M,€64K,1735
J. Maas,CB,28,77,79,AFC Richmond,2020 ~ 2026,€10.5M,€800,1759
R. Lewandowski,ST,33,91,91,FC Barcelona,2022 ~ 2025,€84M,€420K,2205
H. Kane,ST,28,89,89,Tottenham Hotspur,2010 ~ 2024,€105.5M,€240K,2193
J. Siebatcheu,ST,26,74,77,1. FC Union Berlin,2022 ~ 2024,€5.5M,€28K,1756
T. Alexander-Arnold,RB,23,87,90,Liverpool,2015 ~ 2025,€100.5M,€150K,2234
G. Busio,CM,20,73,86,Venezia FC,2021 ~ 2024,€7.5M,€4K,1974
H. Elliott,CAM,19,73,87,Liverpool,2019 ~ 2025,€7M,€37K,1721
Y. Demir,RM,19,71,82,SK Rapid Wien,2019 ~ 2024,€4M,€11K,1699
N. Fagioli,CM,21,73,85,Juventus,2019 ~ 2023,€7.5M,€47K,1911
Pablo Torre,CAM,19,68,85,FC Barcelona,2022 ~ 2026,€3.1M,€23K,1765
H. Son,LW,29,89,89,Tottenham Hotspur,2015 ~ 2025,€101M,€240K,2141
P. Dybala,CF,28,86,86,Roma,2022 ~ 2025,€69.5M,€130K,2108
Marcos Llorente,CM,27,84,85,Atlético de Madrid,2019 ~ 2027,€48M,€81K,2244
L. Sinisterra,LW,23,80,86,Leeds United,2022 ~ 2027,€33.5M,€48K,2035
E. Ndicka,CB,22,81,85,Eintracht Frankfurt,2018 ~ 2023,€34M,€30K,1947
R. Baku,RM,24,80,84,VfL Wolfsburg,2020 ~ 2025,€30M,€46K,2122
J. Burkardt,ST,21,76,84,1. FSV Mainz 05,2018 ~ 2024,€17M,€22K,1942
A. Hickey,LWB,20,75,85,Brentford,2022 ~ 2026,€12M,€28K,1871
Beto,ST,24,79,82,Udinese Calcio,2022 ~ 2026,€24.5M,€21K,1828
N. Rovella,CM,20,73,86,Juventus,2021 ~ 2024,€7.5M,€47K,1942
A. Onana,CDM,20,74,84,Everton,2022 ~ 2027,€8.5M,€22K,1899
T. Livramento,RB,19,75,85,Southampton,2021 ~ 2026,€11.5M,€22K,1865
A. Rüdiger,CB,29,87,88,Real Madrid CF,2022 ~ 2026,€73.5M,€250K,2011
Renato Sanches,CM,24,80,86,Paris Saint-Germain,2022 ~ 2027,€33M,€72K,2215
T. Hernández,LB,24,85,90,AC Milan,2019 ~ 2026,€76M,€82K,2195
Raphinha,RW,25,83,86,FC Barcelona,2022 ~ 2027,€48M,€180K,2129
Ferran Torres,LW,22,82,88,FC Barcelona,2022 ~ 2027,€49M,€150K,2030
A. Vranckx,CM,19,73,84,VfL Wolfsburg,2021 ~ 2025,€6.5M,€18K,1954
M. Caicedo,CM,20,70,82,Brighton & Hove Albion,2021 ~ 2025,€3.8M,€23K,1913
W. Gnonto,ST,18,69,85,FC Zürich,2020 ~ 2023,€3.6M,€4K,1741
S. Raebiger,CM,17,62,84,SpVgg Greuther Fürth,2022 ~ 2025,€1.2M,€500,1721
Vanderson,RM,21,76,85,AS Monaco,2022 ~ 2027,€17M,€32K,1983
L. Majer,CM,24,80,85,Stade Rennais FC,2021 ~ 2026,€31.5M,€47K,2067
K. Koné,CM,21,77,86,Borussia Mönchengladbach,2021 ~ 2025,€23.5M,€21K,2027
B. Brobbey,ST,20,76,85,Ajax,2022 ~ 2027,€16.5M,€13K,1807
M. Cho,ST,18,70,85,Real Sociedad,2022 ~ 2027,€3.7M,€7K,1640
C. Eriksen,CM,30,82,82,Manchester United,2022 ~ 2025,€29M,€135K,1999
I. Toney,ST,26,77,79,Brentford,2020 ~ 2025,€13M,€51K,1995
Brahim,CAM,22,78,86,AC Milan,"Jun 30, 2023 On Loan",€31.5M,€110K,1816
A. Isak,ST,22,80,85,Real Sociedad,2019 ~ 2026,€33M,€37K,1905
N. Mazraoui,RB,24,82,86,FC Bayern München,2022 ~ 2026,€40.5M,€59K,2105
L. Majer,CM,24,80,85,Stade Rennais FC,2021 ~ 2026,€31.5M,€47K,2067
E. Hazard,LW,31,84,84,Real Madrid CF,2019 ~ 2024,€35M,€220K,2045
Bruno Fernandes,CAM,27,86,87,Manchester United,2020 ~ 2026,€78.5M,€190K,2305
B. Embolo,ST,25,77,80,AS Monaco,2022 ~ 2026,€14M,€49K,2011
S. Becker,ST,27,76,77,1. FC Union Berlin,2019 ~ 2023,€9M,€32K,1923
O. Zinchenko,LB,25,79,82,Arsenal,2022 ~ 2027,€21.5M,€73K,2133
D. Zakaria,CDM,25,81,86,Juventus,2022 ~ 2026,€34.5M,€95K,2053
M. Mount,CAM,23,84,87,Chelsea,2016 ~ 2024,€57.5M,€130K,2119
Diogo Costa,GK,22,79,86,FC Porto,2016 ~ 2026,€30.5M,€11K,1123
M. de Ligt,CB,22,85,89,FC Bayern München,2022 ~ 2027,€71M,€77K,1982
E. Álvarez,CDM,24,80,84,Ajax,2019 ~ 2025,€27.5M,€17K,1979
C. Bassey,LB,22,74,84,Ajax,2022 ~ 2027,€9M,€11K,1881
M. Camara,CDM,22,77,85,FC Red Bull Salzburg,2019 ~ 2025,€22.5M,€23K,2012
S. Dest,RB,21,77,85,FC Barcelona,2020 ~ 2025,€22.5M,€71K,1993
S. Botman,CB,22,80,86,Newcastle United,2022 ~ 2027,€31M,€74K,1741
N. Seiwald,CM,21,75,84,FC Red Bull Salzburg,2020 ~ 2026,€12.5M,€19K,2013
O. Popescu,LW,19,72,85,FCSB (Steaua),2020 ~ 2024,€5.5M,€8K,1775
M. Baturina,CM,19,69,86,Dinamo Zagreb,2021 ~ 2027,€3.6M,€500,1858
Z. Sertdemir,CM,17,62,83,Bayer 04 Leverkusen,2021 ~ 2024,€1.2M,€1K,1667
S. Mané,LM,30,89,89,FC Bayern München,2022 ~ 2025,€99.5M,€145K,2188
A. Saint-Maximin,LM,25,81,83,Newcastle United,2019 ~ 2026,€32.5M,€95K,1916
Fernando,ST,23,72,80,FC Red Bull Salzburg,2022 ~ 2027,€5M,€19K,1812
Eric García,CB,21,76,83,FC Barcelona,2021 ~ 2026,€14M,€67K,1815
T. Pobega,CM,22,76,85,AC Milan,2019 ~ 2025,€17M,€45K,2133
A. Velasco,LM,19,75,85,FC Dallas,2022 ~ 2025,€12M,€5K,1954
A. Diallo,RM,19,69,85,Manchester United,2021 ~ 2025,€3.6M,€23K,1667
L. Netz,LB,19,73,85,Borussia Mönchengladbach,2021 ~ 2026,€7M,€11K,1789
Kayky,RW,19,66,86,Manchester City,2021 ~ 2026,€2.4M,€17K,1562
K. Asllani,CDM,20,72,84,Inter,"Jun 30, 2023 On Loan",€5.5M,€6K,1879
A. Dixon,RB,26,78,81,AFC Richmond,2019 ~ 2024,€17M,€850,2033
R. Lukaku,ST,29,86,86,Inter,"Jun 30, 2023 On Loan",€68M,€200K,2034
M. Maignan,GK,26,87,90,AC Milan,2021 ~ 2026,€80M,€90K,1496
Iñaki Williams,ST,28,81,81,Athletic Club de Bilbao,2012 ~ 2028,€26.5M,€40K,2055
D. Calabria,RB,25,80,83,AC Milan,2015 ~ 2025,€25.5M,€60K,2033
F. Kessié,CDM,25,84,86,FC Barcelona,2022 ~ 2026,€47.5M,€165K,2206
B. Brereton Díaz,ST,23,75,82,Blackburn Rovers,2019 ~ 2023,€11.5M,€38K,1878
A. Bastoni,CB,23,84,90,Inter,2017 ~ 2024,€60.5M,€75K,1890
Éder Militão,CB,24,84,89,Real Madrid CF,2019 ~ 2025,€57.5M,€160K,2043
M. Guéhi,CB,21,78,86,Crystal Palace,2021 ~ 2026,€29.5M,€36K,1760
L. Geertruida,RB,21,77,85,Feyenoord,2017 ~ 2024,€22.5M,€8K,1931
Sergio Gómez,LB,21,74,83,RSC Anderlecht,2021 ~ 2025,€9M,€13K,2059
N. Okafor,ST,22,75,83,FC Red Bull Salzburg,2020 ~ 2024,€12.5M,€25K,1894
M. Vandevoordt,GK,20,70,84,KRC Genk,2018 ~ 2023,€3.4M,€5K,1062
D. Kulusevski,RW,22,81,87,Tottenham Hotspur,"Jun 30, 2023 On Loan",€41.5M,€105K,2091
H. Ekitike,ST,20,76,85,Paris Saint-Germain,"Jun 30, 2023 On Loan",€16.5M,€19K,1749
Gonçalo Esteves,RB,18,70,85,Estoril Praia,"Jun 30, 2023 On Loan",€3.5M,€2K,1734
A. Devine,CAM,17,60,83,Tottenham Hotspur,2021 ~ 2024,€775K,€1K,1622
Iker Bravo,ST,17,64,83,Bayer 04 Leverkusen,2021 ~ 2024,€1.5M,€2K,1528
Ibañez,CB,23,79,83,Roma,2021 ~ 2025,€22.5M,€51K,1694
P. Kalulu,CB,22,78,85,AC Milan,2020 ~ 2025,€26.5M,€47K,1947
D. Udogie,LWB,19,74,82,Udinese Calcio,2022 ~ 2026,€8.5M,€8K,1941
M. Kerkez,LB,18,68,85,AZ Alkmaar,2022 ~ 2026,€2.9M,€1K,1795
D. Scarlett,ST,18,64,85,Portsmouth,"Jun 30, 2023 On Loan",€1.9M,€7K,1521
N. Zalewski,LM,20,74,86,Roma,2019 ~ 2025,€10M,€34K,1844
C. Hughes,LM,26,78,78,AFC Richmond,2018 ~ 2024,€15.5M,€900,1797
L. Modrić,CM,36,88,88,Real Madrid CF,2012 ~ 2023,€29M,€230K,2257
M. Reus,CAM,33,85,85,Borussia Dortmund,2012 ~ 2023,€33.5M,€78K,2154
T. Werner,ST,26,82,84,RB Leipzig,2022 ~ 2026,€38M,€73K,1994
Iñaki Williams,ST,28,81,81,Athletic Club de Bilbao,2012 ~ 2028,€26.5M,€40K,2055
Marco Asensio,RW,26,83,84,Real Madrid CF,2015 ~ 2023,€43M,€200K,2036
J. St. Juste,CB,25,76,80,Sporting CP,2022 ~ 2026,€9.5M,€12K,1984
B. White,CB,24,79,86,Arsenal,2021 ~ 2026,€32.5M,€65K,1761
R. Kolo Muani,ST,23,78,84,Eintracht Frankfurt,2022 ~ 2027,€22.5M,€29K,1829
Pedro Gonçalves,RW,24,81,86,Sporting CP,2020 ~ 2026,€39M,€19K,2089
J. David,ST,22,79,85,LOSC Lille,2020 ~ 2025,€28.5M,€37K,1912
P. Pogba,CM,29,85,85,Juventus,2022 ~ 2026,€52.5M,€165K,2170
M. Acuña,LB,30,85,85,Sevilla FC,2020 ~ 2024,€46.5M,€46K,2303
Z. Çelik,RWB,25,76,79,Roma,2022 ~ 2026,€9M,€45K,1963
Arthur,CM,25,80,82,Juventus,2020 ~ 2025,€26.5M,€100K,2129
Florentino,CDM,22,76,85,SL Benfica,2017 ~ 2024,€16M,€11K,1776
S. Özcan,CDM,24,79,83,Borussia Dortmund,2022 ~ 2026,€23M,€38K,2055
Rúben Dias,CB,25,88,91,Manchester City,2020 ~ 2027,€107.5M,€230K,1894
G. Rutter,ST,20,75,84,TSG Hoffenheim,2021 ~ 2026,€12.5M,€25K,1745
Emerson Royal,RWB,23,78,82,Tottenham Hotspur,2021 ~ 2026,€18.5M,€63K,2015
E. Tapsoba,CB,23,81,86,Bayer 04 Leverkusen,2020 ~ 2026,€35M,€49K,1914
Nico González,CM,20,75,85,FC Barcelona,2020 ~ 2024,€12.5M,€72K,1964
Gonçalo Ramos,ST,21,75,85,SL Benfica,2019 ~ 2025,€12.5M,€11K,1900
A. Knauff,RM,20,75,83,Eintracht Frankfurt,"Jun 30, 2023 On Loan",€12.5M,€27K,1844
L. Romero,RW,17,67,86,Lazio,2021 ~ 2024,€2.5M,€3K,1642
A. Ezzalzouli,LW,20,70,82,FC Barcelona,2021 ~ 2024,€3.8M,€46K,1581
S. Haller,ST,28,82,82,Borussia Dortmund,2022 ~ 2026,€31M,€68K,1947
J. Grealish,LW,26,84,85,Manchester City,2021 ~ 2027,€49.5M,€185K,2017
H. Çalhanoğlu,CM,28,84,84,Inter,2021 ~ 2024,€42M,€100K,2172
Andreas Pereira,CAM,26,76,79,Fulham,2022 ~ 2026,€10M,€51K,2097
N. Kanté,CDM,31,89,89,Chelsea,2016 ~ 2023,€72M,€220K,2154
K. Laimer,CDM,25,83,84,RB Leipzig,2017 ~ 2023,€38.5M,€64K,2156
A. Zambo Anguissa,CDM,26,81,83,Napoli,2022 ~ 2026,€28.5M,€58K,2113
Carlos Soler,CM,25,83,88,Valencia CF,2015 ~ 2023,€53M,€51K,2183
Cucurella,LB,23,81,85,Chelsea,2022 ~ 2028,€34.5M,€90K,2132
N. González,RW,24,80,85,Fiorentina,2021 ~ 2026,€32M,€58K,1971
S. Esposito,CAM,19,70,85,RSC Anderlecht,"Jun 30, 2023 On Loan",€3.8M,€16K,1824
Adrián Bernabé,CM,21,69,82,Parma,2021 ~ 2024,€3.4M,€2K,1871
K. Taylor,CM,20,73,85,Ajax,2018 ~ 2027,€7.5M,€10K,1966
K. Sulemana,LW,20,75,85,Stade Rennais FC,2021 ~ 2026,€12.5M,€32K,1817
C. Patino,CM,18,64,85,Blackpool,"Jun 30, 2023 On Loan",€1.9M,€5K,1699
N. Molina,RWB,24,78,84,Atlético de Madrid,2022 ~ 2027,€21M,€39K,2014
D. Dumfries,RWB,26,82,84,Inter,2021 ~ 2025,€34.5M,€73K,2061
G. Kobel,GK,24,83,88,Borussia Dortmund,2021 ~ 2026,€44M,€40K,1251
I. Sangaré,CDM,24,81,86,PSV,2020 ~ 2027,€35.5M,€20K,2087
Y. Bissouma,CDM,25,81,86,Tottenham Hotspur,2022 ~ 2026,€34.5M,€88K,2135
D. Raum,LWB,24,81,85,RB Leipzig,2022 ~ 2027,€34.5M,€49K,2057
I. Konaté,CB,23,81,88,Liverpool,2021 ~ 2026,€48M,€90K,1743
Pedro Neto,LW,22,78,85,Wolverhampton Wanderers,2019 ~ 2027,€28.5M,€72K,1839
W. McKennie,CM,23,80,85,Juventus,2021 ~ 2025,€31.5M,€90K,2212
J. Clauss,RWB,29,80,80,Olympique de Marseille,2022 ~ 2025,€18.5M,€45K,2095
A. Saelemaekers,RW,23,78,82,AC Milan,2020 ~ 2026,€20M,€57K,2036
A. Lunin,GK,23,75,84,Real Madrid CF,2018 ~ 2024,€11M,€63K,1119
M. Kudus,CAM,21,76,84,Ajax,2020 ~ 2025,€17M,€12K,2019
J. Doku,RW,20,75,85,Stade Rennais FC,2020 ~ 2025,€12.5M,€32K,1774
G. Slonina,GK,18,66,81,Chicago Fire Football Club,"Dec 31, 2022 On Loan",€1.7M,€2K,1044
